product_id,name,brand,price,barcode,item_number,quantity_in_stock,description,unit_size,category_id,discount 
1,anti-itch,aveeno,15.99,381370036906,794594,1,,118ml,3,Yes
2,Skincare Oil 200,bio oil,37.99,891038001028,537407,1,,200 ml,3,Yes
3,Skincare Oil 125,bio oil,25.99,891038001011,788992,1,,125 ml,3,Yes
4,Foaming facial cleanser,cerave,24.99,3606000552593,111122,1,,562 ml,3,Yes
5,Hydrating Cleanser,cerave,25.99,3606000546349,145837,1,,562 ml,3,Yes
6,Hydrating cream-to-foam,cerave,22.99,3606000569119,154438,1,,562 ml,3,Yes
7,Moisturizing Cream ,cerave,35.99,3606000531673,133539,1,,562 ml,3,Yes
8,Acne Foaming Cleanser,cerave,23.99,3606000552791,165820,1,,150,3,Yes
9,Cetaphil,cetaphil,19.99,772618075007,606376,1,,500,3,Yes
10,Cetaphil,cetaphil,14.99,772618072501,606368,1,,250,3,Yes
11,Restoraderm Body Wash,cetaphil,16.99,772618233001,915645,1,,255,3,Yes
12,Cliniderm,cliniderm,21.99,369787091008,151362,1,,100,3,Yes
13,Gentle Shampoo,cliniderm,21.99,369787032407,149719,1,,240,3,Yes
14,Healing Ointment,eucerin,19.99,56594014053,147260,1,,190,3,Yes
15,Hand Cream,glysomed,12.99,41388005003,64924,1,,200,3,Yes
16,Moisturizing Cream,GlaxalBase,29.99,365197323142,133728,1,,450,3,Yes
17,Pure epsom Salt,Dr.Teals,11.99,811068017691,153231,1,,3 lbs,3,Yes
18,Pure epsom Salt,Dr.Teals,11.99,811068015024,153232,1,,3 lbs,3,Yes
19,Pure epsom Salt,Dr.Teals,11.99,811068010708,153233,1,,3 lbs,3,Yes
20,Vitamin B2 (Riboflavin) 100mg Caplets,Jamieson,16.99,64642022097,631028,1,,100 ct,6,Yes
21,Vitamin B6 (Pyridoxine) 100 mg Tablets,Jamieson,16.99,64642020222,299222,1,,100 ct,6,Yes
22,"Vitamin B12 5,000 mcg Tablets",Jamieson,20.99,64642091277,251371,1,,45 ct,6,Yes
23,"Vitamin B12 1,000 mcg Fast Dissolving Sublingual Tablets Value Size",Jamieson,27.99,64642079572,97971,1,,150 ct,6,Yes
24,"Vitamin B12 1,200 Mcg Timed Release",Jamieson,17.99,64642028235,159061,1,,80 ct,6,Yes
25,Vitamin B6 + B12 and Folic Acid Caplets,Jamieson,16.99,64642053268,970202,1,,90 ct,6,Yes
26,"Biotin 10,000 mcg Softgels Value Size",Jamieson,29.99,64642091758,222222,1,,90 ct,6,Yes
27,MegaCal Calcium 650mg,Jamieson,22.99,64642048707,230771,1,,120 ct,6,Yes
28,Mega Cal Calcium 650 mg + Vitamin D3 400 IU Value Size,Jamieson,19.99,64642079619,230730,1,,250 ct,6,Yes
29,Calcium Citrate Plus Vitamin D3 Caplets,Jamieson,19.99,64642028471,122387,1,,120 ct,6,Yes
30,Chewable Vitamin C 500 mg Tangy Orange Flavour,Jamieson,14.99,64642020314,198515,1,,120 ct,6,Yes
31,"Vitamin C 1,000 mg",Jamieson,21.99,64642020789,892877,1,,100 ct,6,Yes
32,Cod Liver Oil Softgels + Vitamin A + D3,Jamieson,14.99,64642022363,9811,1,,100 ct,6,Yes
33,Cranberry 250 mg Capsules,Jamieson,16.99,64642067739,18800,1,,100 ct,6,Yes
34,Cranberry Complex 500 mg Maximum Concentrate,Jamieson,27.99,64642021632,765636,1,,60 ct,6,Yes
35,Maximum Concentrate Cranberry Complex 500 mg,Jamieson,39.99,64642091833,140081,1,,100 ct,6,Yes
36," Vitamin D3 1,000 IU Tablets",Jamieson,14.99,64642052544,632158,1,,240 ct,6,Yes
37,Vitamin E 200 IU 100 Softgels,Jamieson,23.99,64642020321,11070,1,,100 ct,6,Yes
38,Vitamin E 400 IUper268 mg AT Softgels,Jamieson,31.99,64642020376,737098,1,,120 ct,6,Yes
39,Glucosamine Chondroitin 900 mg Caplets,Jamieson,37.99,64642024213,511758,1,,125 ct,6,Yes
40,"Liquid Glucosamine 1,500 mg Maximum Strength - Wild Cherry Flavour",Jamieson,23.99,64642027252,644278,1,,350 ml,6,Yes
41, Niacin 500mg Caplets,Jamieson,13.99,64642022073,27201,1,,100 ct,6,Yes
42,"Probiotic 30 Billion",Jamieson,32.99,64642057648,112183,1,,30 ct,6,Yes
43,ACET 120mg – Acetaminophen Suppositories USP,Acet,0,57606043429,0,1,,12 ct,9,Yes
44,ACET 160mg – Acetaminophen Suppositories USP ,Acet,0,57606043528,0,1,,12 ct,9,Yes
45,ACET325 Children’s Acetaminophen Suppositories ,Acet,0,57606043627,0,1,,12 ct,9,Yes
46, JUNIOR CHEWABLE TABLETS - BLUE RASPBERRY ,Advil,0,62107006200,0,1,,20 ct,9,Yes
47,Strength Advil Chewable Tablets Blue Raspberry ,Advil,0,62107006217,0,1,,40 ct,9,Yes
48,"Strength Advil Pain Reliever and Fever Reducer Ibuprofen Chewable Tablets, Grape",Advil,0,62107006033,0,1,,40 ct,9,Yes
49,Children’s Advil Dye Free Suspension (Blue Raspberry Flavour),Advil,0,62107006118,0,1,,100 ml,9,Yes
50,Children’s Advil Suspension Dye-free Bubble Gum ,Advil,0,62107006415,0,1,,100 ml,9,Yes
51,Advil Pediatric Drops Dye Free Grape ,Advil,0,62107004336,0,1,,24 ml,9,Yes
52,Childrens Advil Dye Free Suspension Grape Flavour,Advil,0,62107004343,0,1,,100 ml,9,Yes
53,Children’s Advil Dye Free Grape ,Advil,0,62107006446,0,1,,230 ml,9,Yes
54," Kids Syrup Allergy Medicine - 24 Hour Non-Drowsy Kids Allergy Medication, Antihistamines For Kids, Fast Allergy Relief, Bubblegum Flavour",Advil,0,56219312168,0,1,,100 ml,9,Yes
55,Benadryl Children’s Liquid Bubble Gum Flavour ,Benadryl,0,60093265809,0,1,,100 ml,9,Yes
56,Childrens Benadryl Allergy Liquid Bubble Gum Flavour ,Benadryl,0,60245955381,0,1,,250 ml,9,Yes
57,Benadryl Kids Chewable Tabs Grape ,Benadryl,0,62600964120,0,1,,12 ct,9,Yes
58,"Claritin Kids Syrup Allergy Medicine - 24 Hour Non-Drowsy Kids Allergy Medication, Antihistamines For Kids, Fast Allergy Relief Of Itchy Watery Eyes, Sneezing, Runny Nose, Itchy Skin and Hives",Claritin,0,56219961212,0,1,,120 ml,9,Yes
59,Herbion Cough Syrup Children,Herbion,0,4607006674837,0,1,,150 ml,9,Yes
60,GENEXA KIDS PAIN and FEVER ,Genexa,0,857630006878,0,1,,118 ml,9,Yes
61,"Helixia, Kids Natural Defense",Helixia,0,625972020070,0,1,,120 ml,9,Yes
62,Advil Tb 200mg Pocket ,Advil,0,62107004015,0,1,,10 ct,10,Yes
63,Advil Tablets Ibuprofen 200 mg Pain reliever/Fever reducer,Advil,0,62107004091,0,1,,100 ct,10,Yes
64,Advil Caplets,Advil,0,62107004121,0,1,,24 ct,10,Yes
65,Advil Extra Strength Caplets,Advil,0,62107004640,0,1,,72 ct,10,Yes
66,Advil Liqui-Gels,Advil,0,62107004916,0,1,,32 ct,10,Yes
67,Advil Extra Strength Caplets,Advil,0,62107004626,0,1,,16 ct,10,Yes
68,Advil Extra-Strength Liqui Gels,Advil,0,62107005012,0,1,,12 ct,10,Yes
69,Advil Cold & Sinus Caplets,Advil,0,62107004299,0,1,,10 ct,10,Yes
70,Advil Cold and Sinus Nighttime Caplets,Advil,0,62107005463,0,1,,20 ct,10,Yes
71,Advil Cold & Sinus Liqui-Gels with Fever Relief and Nasal Decongestant,Advil,0,62107004374,0,1,,20 ct,10,Yes
72,Advil Cold & Sinus Liqui-Gels with Fever Relief and Nasal Decongestant,Advil,0,62107005302,0,1,,40 ct,10,Yes
73,"Aspirin 81mg Daily Low Dose Quick Chews, Orange Flavour",Bayer,0,56500359476,0,1,,30 ct,11,Yes
74,Aspirin Quick Chews,Bayer,0,56500359483,0,1,,100 ct,11,Yes
75,"ASPIRIN 81mg Quick Chews, Enteric Coated",Bayer,0,56500357755,0,1,,30 ct,11,Yes
76,ASPIRIN 81mg Daily Low Dose Preventative Treatment,Bayer,0,56500001207,0,1,,120 ct,11,Yes
77,Aspirin 325mg Coated Regular Strength,Bayer,0,56500124104,0,1,,100 ct,11,Yes
78,Health One ASA  ,Heath One,0,57606117823,0,1,,150 ct,11,Yes
79,Apothecare Ibuprofen 100,apothecare,0,771313243346,0,1,,100 ct,10,Yes
80,Health One ExtraS. Ibuprofen,Heath One,10.99,771313225892,0,1,,24 ct,10,Yes
81,Health One Ibuprofen liquid,Heath One,10.99,771313244282,0,1,,32 ct,10,Yes
82,Health One Ibuprofen liquid,Heath One,14.99,771313244299,0,1,,72 ct,10,Yes
83,Desloratadine Allergy Control ,Teva,0,57606020444,0,1,,30 ct,21,Yes
84,Benadryl Elixir 100ML,Benadryl,0,60093265182,0,1,,100 ct,21,Yes
85,Cherry flavoured extra strength benzocaine and menthol lozenges ,Cepacol,0,363824720166,0,1,,16 ct,10,Yes
86,"Honey and lemon sore throat lozenges, Sensations ",Cepacol,0,363824500607,0,1,,16 ct,10,Yes
87,"Sensations Sore Throat Lozenges, Lemon",Cepacol,0,363824001579,0,1,,16 ct,10,Yes
88,"Sensations Sore Throat and Cough, Sore Throat Lozenges",Cepacol,0,363824880051,0,1,,16 ct,10,Yes
89,"Mucinex ® Multi-Action Cold, Flu & Sore Throat Caplets",Mucinex,0,363824954868,0,1,,20 ct,10,Yes
90,Mucinex® Chest Congestion Guaifenesin 600 mg Tablets Expectorant (Cough Medicine),Mucinex,0,363824932446,0,1,,20 ct,10,Yes
91,"NyQuil COMPLETE Cold, Flu, and Congestion Medicine, Honey Flavour",Nyquill,0,56100083825,0,1,,354 ML,10,Yes
92,Buckley's Mucus & Phlegm Cough Syrup - Buckley's Syrups,Buckleys,0,58478107127,0,1,,150 ML,10,Yes
93,PROSPAN BY HELIXIA MENTHOL FLAVOUR ,Prospan,0,625972803185,0,1,,200 ML,10,Yes
94,PROSPAN BY HELIXIA ADULT COUGH SYRUP - MENTHOL ,Prospan,0,625972020094,0,1,,100 ML,10,Yes
95,Robitussin Cough Control for People with Diabetes,robistussin,0,62107494502,0,1,,115 ML,10,Yes
96,Robitussin Extra Strength Cough Control Liquid ,robitussin,0,62107482004,0,1,,250 ML,10,Yes
97,Robitussin Extra Strength Cough Control ,robistussin,0,62107469005,0,1,,100 ML,10,Yes
98,Robitussin Cough Control ,robistussin,0,62107468008,0,1,,250 ML,10,Yes
99,Robitussin DM CoughGels,robistussin,0,62107495004,0,1,,20 ct,10,Yes
100,Robitussin Mucus & Phlegm Syrup Cherry Flavour Extra Strength,robitussin,0,62107471008,0,1,,100 ML,10,Yes
101,Robitussin Mucus & Phlegm Extra Strength Syrup Cherry,robitussin,0,62107473002,0,1,,250 ML,10,Yes
102,NeilMed Sinus Rinse Premixed Refill Packets,Neilmed,0,705928002005,0,1,,100 ct,10,Yes
103,NeilMed Sinus Rinse Complete Kit,neilmed,0,705928001008,0,1,,50 ct,10,Yes
104,"NeilMed NasaFlo Neti Pot, Natural soothing saline nasal wash",neilmed,0,705928008168,0,1,,100 ct,10,Yes
105,NEILMED HYPERTONIC - EXTRA STRENGTH - REFILLS ,neilmed,0,705928004009,0,1,,70 ct,10,Yes
106,Vicks Vaporub Ointment,vicks,0,56100300670,0,1,,115 ML,10,Yes
